customer_id,churn,tenure,monthly_charges,total_charges,contract,payment_method,feedback,topic
CUST094,TRUE,5,32,160,month-to-month,credit card,Flowers didn't last as expected,product quality
CUST095,FALSE,21,26,546,two year,electronic check,Extremely satisfied with my orders,general feedback
CUST096,TRUE,6,33.5,201,month-to-month,mailed check,Delivery timing is unpredictable,delivery issues
CUST097,FALSE,14,28.5,399,one year,bank transfer,Amazing quality and service,general feedback
CUST098,TRUE,7,30,210,month-to-month,electronic check,Expected more variety in bouquets,bouquet preferences
CUST099,FALSE,18,27.99,503.82,two year,credit card,Very happy with the subscription,general feedback
CUST100,TRUE,8,31,248,month-to-month,mailed check,Customer service could be better,customer service
CUST101,FALSE,9,30.5,274.5,one year,credit card,Love the monthly surprises,general feedback
CUST102,TRUE,1,35,35,month-to-month,electronic check,Disappointed with the flower quality,product quality
CUST103,FALSE,22,26,572,two year,bank transfer,Exceptional customer service,customer service
CUST104,TRUE,2,31,62,month-to-month,mailed check,Not worth the monthly cost,price complaints
CUST105,FALSE,13,29,377,one year,credit card,Always satisfied with the bouquets,bouquet preferences
CUST106,TRUE,3,30.5,91.5,month-to-month,electronic check,Delivery times were inconsistent,delivery issues
CUST107,FALSE,24,26.5,636,two year,bank transfer,Quality has always been top-notch,product quality
CUST108,TRUE,7,33.5,234.5,month-to-month,mailed check,Customer service was unhelpful,customer service
CUST109,FALSE,18,27.99,503.82,one year,credit card,Each bouquet is a masterpiece,bouquet preferences
CUST110,TRUE,8,31,248,month-to-month,electronic check,Prices are too high for the offering,price complaints
CUST111,FALSE,15,28.5,427.5,one year,bank transfer,Flowers are always fresh and beautiful,product quality
CUST112,TRUE,4,30,120,month-to-month,mailed check,Selection didn't meet my expectations,bouquet preferences
CUST113,FALSE,20,27.5,550,two year,credit card,Reliable delivery every month,delivery quality
CUST114,TRUE,6,32,192,month-to-month,electronic check,Not satisfied with the bouquet variety,bouquet preferences
CUST115,FALSE,11,28.5,313.5,one year,bank transfer,Highly recommend this subscription,general feedback
CUST116,TRUE,5,34,170,month-to-month,mailed check,Flowers wilted quickly,product quality
CUST117,FALSE,17,27,459,two year,credit card,Very happy with the flower quality,product quality
CUST118,TRUE,9,33.5,301.5,month-to-month,electronic check,Expensive compared to quality received,price complaints
CUST119,FALSE,10,30,300,one year,bank transfer,Always a delightful experience,general feedback
CUST120,TRUE,3,29.5,88.5,month-to-month,mailed check,Delivery service was poor,delivery issues
CUST121,FALSE,21,26.5,556.5,two year,credit card,Impressed with the variety,bouquet preferences
CUST122,TRUE,1,35.5,35.5,month-to-month,electronic check,Not happy with the overall service,customer service
CUST123,FALSE,14,29,406,one year,bank transfer,The bouquets are always stunning,product quality
CUST124,TRUE,2,31,62,month-to-month,mailed check,Too costly for the bouquet size,price complaints
CUST125,FALSE,23,26,598,two year,electronic check,Subscription is a great value,price appreciation
CUST126,TRUE,7,32,224,month-to-month,credit card,Unsatisfied with the flower freshness,product quality
CUST127,FALSE,19,28,532,one year,bank transfer,Flowers always exceed my expectations,product quality
CUST128,TRUE,8,30.5,244,month-to-month,mailed check,Expected more for the price,price complaints
CUST129,FALSE,16,27.99,447.84,one year,credit card,Very reliable subscription service,general feedback
CUST130,TRUE,4,34,136,month-to-month,electronic check,Not enough flower variety,bouquet preferences
CUST131,FALSE,25,25,625,two year,bank transfer,Consistently excellent bouquets,bouquet preferences
CUST132,TRUE,6,31,186,month-to-month,mailed check,Delivery was often delayed,delivery issues
CUST133,FALSE,12,29.5,354,one year,credit card,Happy with every delivery,delivery quality
CUST134,TRUE,10,33.5,335,month-to-month,electronic check,Quality not as expected,product quality
CUST135,FALSE,13,28,364,one year,bank transfer,Subscription is a lovely treat,general feedback
CUST136,TRUE,3,30,90,month-to-month,mailed check,null,customer service
CUST137,FALSE,22,26.5,583,two year,credit card,Great customer care and products,customer service
CUST138,TRUE,5,32,160,month-to-month,electronic check,Too expensive for the quality,price complaints
CUST139,FALSE,17,27,459,one year,bank transfer,High-quality flowers every month,product quality
CUST140,TRUE,7,31,217,month-to-month,mailed check,Flower freshness was disappointing,product quality
CUST141,FALSE,20,27.5,550,two year,credit card,Always impressed with the bouquets,bouquet preferences
CUST142,TRUE,8,34,272,month-to-month,electronic check,Not worth the monthly fee,price complaints
CUST143,FALSE,11,28.5,313.5,one year,mailed check,Consistently great flower quality,product quality
CUST144,TRUE,9,33.5,301.5,month-to-month,bank transfer,Service didn't meet expectations,customer service
CUST145,FALSE,15,30,450,one year,credit card,Flowers always arrive in perfect condition,delivery quality
CUST146,TRUE,2,29,58,month-to-month,mailed check,Prices are too high for the offering,price complaints
CUST147,FALSE,24,26.99,647.76,two year,electronic check,Love the surprise each month,general feedback
CUST148,TRUE,6,32.5,195,month-to-month,credit card,Delivery was unreliable,delivery issues
CUST149,FALSE,18,28,504,one year,bank transfer,Exceptional variety and quality,bouquet preferences
CUST150,TRUE,3,31,93,month-to-month,electronic check,Customer support was lacking,customer service
CUST151,FALSE,21,26.5,556.5,two year,mailed check,Always a beautiful selection,bouquet preferences
CUST152,TRUE,1,35.5,35.5,month-to-month,credit card,Not impressed with the flower quality,product quality
CUST153,FALSE,14,29,406,one year,bank transfer,Subscription brings joy every month,general feedback
CUST154,TRUE,2,31,62,month-to-month,electronic check,Too expensive for what's offered,price complaints
CUST155,FALSE,23,26,598,two year,credit card,Consistently high-quality flowers,product quality
CUST156,TRUE,3,30.5,91.5,month-to-month,mailed check,Disappointed with the bouquet variety,bouquet preferences
CUST157,FALSE,19,28,532,one year,electronic check,Delightful bouquets every time,bouquet preferences
CUST158,TRUE,4,34,136,month-to-month,bank transfer,Delivery was often late,delivery issues
CUST159,FALSE,16,27.99,447.84,one year,credit card,Love the surprise each month,general feedback
CUST160,TRUE,5,32,160,month-to-month,electronic check,Expected better flower quality,product quality
CUST161,FALSE,20,27.5,550,two year,mailed check,Great service and flower quality,general feedback
CUST162,TRUE,6,31,186,month-to-month,bank transfer,Not satisfied with the delivery service,delivery issues
CUST163,FALSE,25,25,625,one year,credit card,Flowers are stunning every time,product quality
CUST164,TRUE,7,33.5,234.5,month-to-month,mailed check,Too pricey for the bouquet size,price complaints
CUST165,FALSE,11,28.5,313.5,two year,bank transfer,Very pleased with the subscription,general feedback
CUST166,TRUE,8,30,240,month-to-month,credit card,Flowers didn't meet expectations,product quality
CUST167,FALSE,13,29.5,383.5,one year,electronic check,Exceptional value for money,price appreciation
CUST168,TRUE,9,34.5,310.5,month-to-month,bank transfer,Quality has decreased over time,product quality
CUST169,FALSE,10,30.5,305,two year,mailed check,Flowers are always fresh,product quality
CUST170,TRUE,2,35,70,month-to-month,credit card,Not happy with the delivery timing,delivery issues
CUST171,FALSE,12,29,348,one year,bank transfer,Always look forward to my delivery,general feedback
CUST172,TRUE,3,30,90,month-to-month,electronic check,Expensive for the quality offered,price complaints
CUST173,FALSE,22,26.5,583,two year,credit card,Happy with every bouquet,product quality
CUST174,TRUE,4,31,124,month-to-month,mailed check,Unsatisfied with the flower choices,bouquet preferences
CUST175,FALSE,17,27,459,one year,bank transfer,Flowers always exceed my expectations,product quality
CUST176,TRUE,5,32.5,162.5,month-to-month,credit card,Delivery service needs improvement,delivery issues
CUST177,FALSE,18,28,504,two year,electronic check,Great quality and service,general feedback
CUST178,TRUE,6,33,198,month-to-month,bank transfer,Not enough variety in bouquets,bouquet preferences
CUST179,FALSE,14,29.5,413,one year,mailed check,Consistently impressed with the quality,product quality
CUST180,TRUE,7,30.5,213.5,month-to-month,credit card,Flowers did not last long,product quality
CUST181,FALSE,20,27.5,550,two year,electronic check,Always a pleasant surprise,general feedback
CUST182,TRUE,8,31,248,month-to-month,mailed check,Expensive for the bouquet size,price complaints
CUST183,FALSE,11,28.5,313.5,one year,bank transfer,Highly satisfied with the service,general feedback
CUST184,TRUE,9,34,306,month-to-month,credit card,Quality not as good as expected,product quality
CUST185,FALSE,12,29,348,two year,electronic check,Love the variety each month,bouquet preferences
CUST186,TRUE,3,30,90,month-to-month,mailed check,Disappointed with the customer service,customer service
CUST187,FALSE,15,27.99,419.85,one year,credit card,Flowers are always top quality,product quality
CUST188,TRUE,4,32,128,month-to-month,bank transfer,Prices are too high for the quality,price complaints
CUST189,FALSE,16,28,448,two year,mailed check,Subscription is worth every penny,price appreciation
CUST190,TRUE,5,33.5,167.5,month-to-month,credit card,Not satisfied with the flower freshness,product quality
CUST191,FALSE,21,26.5,556.5,one year,bank transfer,Excellent variety and freshness,bouquet preferences
CUST192,TRUE,6,30.5,183,month-to-month,mailed check,Delivery was inconsistent,delivery issues
CUST193,FALSE,17,27,459,two year,credit card,Happy with the bouquet designs,bouquet preferences
CUST194,TRUE,7,31,217,month-to-month,electronic check,Expected more variety,bouquet preferences
CUST195,FALSE,18,28.5,513,one year,bank transfer,Great customer service,customer service
CUST196,TRUE,8,34.5,276,month-to-month,mailed check,Too expensive for the offering,price complaints
CUST197,FALSE,19,27.5,522.5,two year,credit card,Consistently happy with my orders,general feedback
CUST198,TRUE,9,30,270,month-to-month,bank transfer,Quality not as advertised,product quality
CUST199,FALSE,10,29.5,295,one year,mailed check,Subscription brings happiness,general feedback
CUST200,TRUE,2,35,70,month-to-month,credit card,Not happy with the service,customer service
CUST201,FALSE,13,29,377,one year,bank transfer,Always a delightful surprise,general feedback
CUST202,TRUE,3,30.5,91.5,month-to-month,credit card,Quality has decreased recently,product quality
CUST203,FALSE,22,26.5,583,two year,mailed check,Highly recommend for flower lovers,general feedback
CUST204,TRUE,4,31,124,month-to-month,electronic check,Flowers not as fresh as expected,product quality
CUST205,FALSE,17,27,459,one year,credit card,Every bouquet is a work of art,bouquet preferences
CUST206,TRUE,5,32.5,162.5,month-to-month,bank transfer,Too pricey for the quality,price complaints
CUST207,FALSE,19,28,532,two year,mailed check,Subscription is a great gift,general feedback
CUST208,TRUE,6,33,198,month-to-month,credit card,Not satisfied with the variety,bouquet preferences
CUST209,FALSE,14,29.5,413,one year,electronic check,Excellent customer service,customer service
CUST210,TRUE,7,30.5,213.5,month-to-month,bank transfer,Delivery times were unpredictable,delivery issues
CUST211,FALSE,20,27.5,550,two year,mailed check,Love the monthly flower surprise,general feedback
CUST212,TRUE,8,31,248,month-to-month,credit card,Expected better quality bouquets,product quality
CUST213,FALSE,11,28.5,313.5,one year,bank transfer,Very satisfied with the service,general feedback
CUST214,TRUE,9,34,306,month-to-month,electronic check,Prices are too high for the offering,price complaints
CUST215,FALSE,15,27.99,419.85,one year,credit card,The flowers are always beautiful,product quality
CUST216,TRUE,2,30,60,month-to-month,mailed check,Not enough flower choices,bouquet preferences
CUST217,FALSE,23,26,598,two year,credit card,Happy with every bouquet,product quality
CUST218,TRUE,3,29.5,88.5,month-to-month,bank transfer,Flowers didn't meet expectations,product quality
CUST219,FALSE,18,28,504,one year,mailed check,Always great service and quality,general feedback
CUST220,TRUE,4,32,128,month-to-month,credit card,Quality has declined,product quality
CUST221,FALSE,16,27.5,440,two year,electronic check,Subscription is a joy every month,general feedback
CUST222,TRUE,5,33.5,167.5,month-to-month,bank transfer,Expensive compared to quality,price complaints
CUST223,FALSE,12,29,348,one year,credit card,Flowers are consistently stunning,product quality
CUST224,TRUE,6,30.5,183,month-to-month,mailed check,Disappointed with the delivery service,delivery issues
CUST225,FALSE,21,26.5,556.5,two year,bank transfer,Very happy with the flower quality,product quality
CUST226,TRUE,7,31,217,month-to-month,credit card,Expected more for the price,price complaints
CUST227,FALSE,13,28.5,370.5,one year,mailed check,Subscription brings happiness,general feedback
CUST228,TRUE,8,34.5,276,month-to-month,bank transfer,Not satisfied with the flower freshness,product quality
CUST229,FALSE,10,30,300,two year,credit card,Flowers are a monthly delight,general feedback
CUST230,TRUE,2,35,70,month-to-month,mailed check,Too costly for the bouquet size,price complaints
CUST231,FALSE,15,27.99,419.85,one year,bank transfer,Always satisfied with my orders,general feedback
CUST232,TRUE,3,29.5,88.5,month-to-month,credit card,Quality not as good as before,product quality
CUST233,FALSE,17,28,476,two year,electronic check,High-quality flowers every time,product quality
CUST234,TRUE,4,32,128,month-to-month,bank transfer,Not happy with the delivery timing,delivery issues
CUST235,FALSE,19,27.5,522.5,one year,mailed check,Great customer service and flowers,general feedback
CUST236,TRUE,5,33.5,167.5,month-to-month,credit card,Expected better bouquet variety,bouquet preferences
CUST237,FALSE,21,26.5,556.5,two year,credit card,Very pleased with every delivery,delivery quality
CUST238,TRUE,6,30.5,183,month-to-month,mailed check,Too expensive for what's offered,price complaints
CUST239,FALSE,12,29,348,one year,bank transfer,Consistently excellent service,general feedback
CUST240,TRUE,7,31,217,month-to-month,credit card,Flowers wilted too quickly,product quality
CUST241,FALSE,14,29.5,413,two year,electronic check,Subscription is a great value,price appreciation
CUST242,TRUE,8,34,272,month-to-month,mailed check,Disappointed with the flower freshness,product quality
CUST243,FALSE,10,30.5,305,one year,credit card,Flowers are always fresh and lovely,product quality
CUST244,TRUE,2,35.5,71,month-to-month,bank transfer,Not satisfied with the service,customer service
CUST245,FALSE,16,27.99,447.84,two year,mailed check,Love the variety and quality,bouquet preferences
CUST246,TRUE,3,30,90,month-to-month,credit card,Quality not as advertised,product quality
CUST247,FALSE,18,28,504,one year,bank transfer,Always impressed with the bouquets,general feedback
CUST248,TRUE,4,32,128,month-to-month,mailed check,Expected more variety in bouquets,bouquet preferences
CUST249,FALSE,20,27.5,550,two year,credit card,Consistently happy with my orders,general feedback
CUST250,TRUE,5,33.5,167.5,month-to-month,electronic check,Too pricey for the bouquet size,price complaints
CUST251,FALSE,11,28.5,313.5,two year,bank transfer,Every bouquet is a delight,general feedback
CUST252,TRUE,1,35,35,month-to-month,credit card,Not happy with the flower quality,product quality
CUST253,FALSE,23,26,598,one year,mailed check,Subscription is worth every penny,price appreciation
CUST254,TRUE,2,31,62,month-to-month,electronic check,Too expensive for the quality,price complaints
CUST255,FALSE,14,29.5,413,two year,credit card,Flowers always exceed expectations,product quality
CUST256,TRUE,3,30.5,91.5,month-to-month,bank transfer,Unsatisfied with the bouquet variety,bouquet preferences
CUST257,FALSE,17,27,459,one year,electronic check,Happy with the service and quality,general feedback
CUST258,TRUE,4,34,136,month-to-month,mailed check,Flowers wilted quickly,product quality
CUST259,FALSE,19,28,532,two year,bank transfer,Always a pleasant surprise,general feedback
CUST260,TRUE,5,32,160,month-to-month,credit card,Expected more for the price,price complaints
CUST261,FALSE,12,29,348,one year,mailed check,Consistently great flower quality,product quality
CUST262,TRUE,6,30.5,183,month-to-month,electronic check,Delivery service was poor,delivery issues
CUST263,FALSE,22,26.5,583,two year,credit card,Highly recommend this service,general feedback
CUST264,TRUE,7,31,217,month-to-month,bank transfer,Not satisfied with the flower freshness,product quality
CUST265,FALSE,13,28.5,370.5,one year,electronic check,Always happy with the bouquets,bouquet preferences
CUST266,TRUE,8,34.5,276,month-to-month,mailed check,Prices are too high for the quality,price complaints
CUST267,FALSE,10,30,300,two year,bank transfer,Flowers are a monthly joy,general feedback
CUST268,TRUE,1,35.5,35.5,month-to-month,credit card,Disappointed with the service,customer service
CUST269,FALSE,15,27.99,419.85,one year,mailed check,Very satisfied with every delivery,delivery quality
CUST270,TRUE,2,29.5,59,month-to-month,electronic check,Quality not as expected,product quality
CUST271,FALSE,18,28,504,two year,credit card,Subscription is a great value,price appreciation
CUST272,TRUE,3,30,90,month-to-month,bank transfer,Not happy with the bouquet choices,bouquet preferences
CUST273,FALSE,16,27.5,440,one year,electronic check,Flowers are always stunning,product quality
CUST274,TRUE,4,32,128,month-to-month,mailed check,Delivery was unreliable,delivery issues
CUST275,FALSE,20,27.5,550,two year,bank transfer,Great variety and quality,bouquet preferences
CUST276,TRUE,5,33.5,167.5,month-to-month,credit card,Too pricey for the bouquet size,price complaints
CUST277,FALSE,11,28.5,313.5,one year,mailed check,Always satisfied with my orders,general feedback
CUST278,TRUE,6,30,180,month-to-month,electronic check,Expected more variety,bouquet preferences
CUST279,FALSE,14,29.5,413,two year,credit card,Highly recommend for quality and service,general feedback
CUST280,TRUE,7,31,217,month-to-month,bank transfer,Not impressed with the flower freshness,product quality
CUST281,FALSE,12,29,348,one year,electronic check,Subscription brings joy,general feedback
CUST282,TRUE,8,34,272,month-to-month,mailed check,Quality has declined over time,product quality
CUST283,FALSE,10,30.5,305,two year,bank transfer,Great customer service and bouquets,customer service
CUST284,TRUE,1,35.5,35.5,month-to-month,credit card,Too expensive for what's offered,price complaints
CUST285,FALSE,15,27.99,419.85,one year,mailed check,Flowers always exceed expectations,product quality
CUST286,TRUE,2,29,58,month-to-month,electronic check,Not satisfied with the delivery,delivery issues
CUST287,FALSE,18,28,504,two year,credit card,Love the flower variety,bouquet preferences
CUST288,TRUE,3,30.5,91.5,month-to-month,bank transfer,Flowers not as fresh as hoped,product quality
CUST289,FALSE,16,27.5,440,one year,mailed check,Always a wonderful experience,general feedback
CUST290,TRUE,4,32,128,month-to-month,credit card,Expected better quality bouquets,product quality
CUST291,TRUE,20,27.5,550,two year,bank transfer,Subscription is a great treat,general feedback
CUST292,TRUE,5,33.5,167.5,month-to-month,mailed check,Too costly for the quality,price complaints
CUST293,TRUE,11,28.5,313.5,one year,credit card,Very happy with the service,general feedback
CUST294,TRUE,6,30,180,month-to-month,electronic check,Not enough flower variety,bouquet preferences
CUST295,TRUE,14,29.5,413,two year,bank transfer,High-quality flowers every month,product quality
CUST296,TRUE,7,31,217,month-to-month,mailed check,Disappointed with the flower freshness,product quality
CUST297,TRUE,12,29,348,one year,electronic check,Always look forward to the bouquets,general feedback
CUST298,TRUE,8,34.5,276,month-to-month,credit card,Flowers didn't meet expectations,product quality
CUST299,TRUE,10,30.5,305,two year,mailed check,Happy with the flower quality,product quality
CUST300,TRUE,1,35,35,month-to-month,electronic check,Service not as expected,customer service
CUST301,TRUE,15,27.99,419.85,one year,bank transfer,Consistently beautiful bouquets,product quality
CUST302,TRUE,2,29,58,month-to-month,credit card,Not satisfied with the variety,bouquet preferences
CUST303,TRUE,18,28,504,two year,electronic check,Every delivery is a pleasant surprise,general feedback
CUST304,TRUE,3,30.5,91.5,month-to-month,mailed check,Too pricey for the bouquet size,price complaints
CUST305,TRUE,20,27.5,550,one year,credit card,Flowers are always stunning,product quality
CUST306,TRUE,4,32,128,month-to-month,bank transfer,Delivery service was unreliable,delivery issues
CUST307,TRUE,16,27.99,447.84,two year,mailed check,Great value and quality,price appreciation
CUST308,TRUE,5,33.5,167.5,month-to-month,credit card,Expected better customer service,customer service
CUST309,TRUE,11,28.5,313.5,one year,bank transfer,Subscription brings joy each month,general feedback
CUST310,TRUE,6,30,180,month-to-month,electronic check,Not happy with the flower freshness,product quality
CUST311,TRUE,22,26.5,583,two year,credit card,Love the flower selection,bouquet preferences
CUST312,TRUE,7,31,217,month-to-month,mailed check,Too expensive for the quality,price complaints
CUST313,TRUE,13,29,377,one year,electronic check,Always satisfied with the bouquets,bouquet preferences
CUST314,TRUE,8,34.5,276,month-to-month,bank transfer,Quality has declined,product quality
CUST315,TRUE,10,30.5,305,two year,mailed check,Great customer care and bouquets,customer service
CUST316,TRUE,1,35.5,35.5,month-to-month,credit card,Disappointed with the delivery service,delivery issues
CUST317,TRUE,14,29.5,413,one year,bank transfer,Subscription is a wonderful gift,general feedback
CUST318,TRUE,2,29,58,month-to-month,electronic check,Not worth the monthly cost,price complaints
CUST319,FALSE,17,28,476,two year,credit card,Very happy with the subscription,general feedback
CUST320,TRUE,3,30,90,month-to-month,mailed check,Quality not as advertised,product quality
CUST321,FALSE,19,27.5,522.5,one year,bank transfer,Consistently excellent service,general feedback
CUST322,TRUE,4,32,128,month-to-month,credit card,Expected more flower variety,bouquet preferences
CUST323,FALSE,16,27.99,447.84,two year,mailed check,Always a wonderful experience,general feedback
CUST324,TRUE,5,33.5,167.5,month-to-month,electronic check,Too costly for the bouquet size,price complaints
CUST325,FALSE,11,28.5,313.5,one year,bank transfer,Flowers are always fresh and lovely,product quality
